,price,number_of_reviews,number_of_answered_questions_num,average_review_rating_out_of_5,average_rating_bin
0,3.42,15,1,4.9,Excellent
1,16.99,2,1,4.5,Excellent
2,9.99,17,2,3.9,Excellent
3,39.99,1,2,5.0,Excellent
4,32.19,3,2,4.7,Excellent
5,6.99,2,1,5.0,Excellent
6,24.99,2,1,4.5,Excellent
7,69.93,36,7,4.3,Excellent
8,235.58,1,1,5.0,Excellent
9,0.0,8,1,4.8,Excellent
10,27.49,1,1,5.0,Excellent
11,273.6,1,1,5.0,Excellent
12,9.6,1,1,5.0,Excellent
13,119.5,3,1,5.0,Excellent
14,0.0,1,1,5.0,Excellent
15,0.0,1,1,5.0,Excellent
16,0.0,2,1,4.5,Excellent
17,0.0,2,1,4.0,Excellent
18,17.08,1,1,4.0,Excellent
19,96.05,1,1,5.0,Excellent
20,27.55,1,1,5.0,Excellent
21,24.5,1,1,5.0,Excellent
22,149.92,1,1,5.0,Excellent
23,12.87,1,1,5.0,Excellent
24,49.95,1,1,5.0,Excellent
25,0.0,21,1,4.5,Excellent
26,14.44,1,1,5.0,Excellent
27,0.0,8,1,5.0,Excellent
28,0.0,4,1,4.3,Excellent
29,5.95,5,1,4.8,Excellent
30,139.95,1,1,5.0,Excellent
31,19.99,3,1,5.0,Excellent
32,25.5,1,1,4.0,Excellent
33,0.0,1,1,5.0,Excellent
34,99.95,2,1,4.5,Excellent
35,49.33,2,1,5.0,Excellent
36,82.31,19,1,4.2,Excellent
37,14.99,1,1,5.0,Excellent
38,0.0,4,1,4.8,Excellent
39,69.99,17,1,4.8,Excellent
40,3.4,1,1,5.0,Excellent
41,50.81,1,1,5.0,Excellent
42,4.99,1,1,4.0,Excellent
43,36.51,1,1,5.0,Excellent
44,14.99,1,1,5.0,Excellent
45,11.58,1,1,5.0,Excellent
46,0.0,1,1,5.0,Excellent
47,79.95,53,2,4.6,Excellent
48,135.0,3,2,4.7,Excellent
49,42.98,1,1,5.0,Excellent
50,50.01,1,1,5.0,Excellent
51,34.95,1,1,5.0,Excellent
52,28.99,5,1,4.6,Excellent
53,0.0,2,1,4.5,Excellent
54,59.99,4,1,4.8,Excellent
55,96.0,1,1,5.0,Excellent
56,35.2,1,1,5.0,Excellent
57,39.03,6,1,4.8,Excellent
58,15.25,1,1,5.0,Excellent
59,167.1,1,1,5.0,Excellent
60,98.5,6,1,4.7,Excellent
61,19.95,1,1,5.0,Excellent
62,35.0,3,1,4.3,Excellent
63,51.61,1,1,5.0,Excellent
64,30.99,38,1,4.6,Excellent
65,0.0,3,1,5.0,Excellent
66,0.0,10,1,4.1,Excellent
67,6.5,3,1,4.7,Excellent
68,45.75,1,1,5.0,Excellent
69,74.6,7,1,4.6,Excellent
70,74.99,4,1,4.8,Excellent
71,76.99,0,1,0.0,Worst
72,27.6,1,1,5.0,Excellent
73,8.0,1,1,5.0,Excellent
74,11.01,3,1,5.0,Excellent
75,100.0,1,1,4.0,Excellent
76,177.99,1,1,5.0,Excellent
77,10.2,3,1,4.0,Excellent
78,22.25,1,1,5.0,Excellent
79,15.75,1,1,5.0,Excellent
80,89.99,1,1,5.0,Excellent
81,5.99,3,1,4.0,Excellent
82,12.3,1,1,4.0,Excellent
83,14.99,6,1,5.0,Excellent
84,7.99,1,1,5.0,Excellent
85,104.66,2,1,5.0,Excellent
86,13.87,1,1,5.0,Excellent
87,2.98,4,1,5.0,Excellent
88,60.25,2,1,5.0,Excellent
89,129.95,9,1,4.2,Excellent
90,0.0,13,1,4.2,Excellent
91,119.99,1,1,5.0,Excellent
92,65.76,1,1,5.0,Excellent
93,26.5,1,1,4.0,Excellent
94,29.99,1,1,5.0,Excellent
95,116.1,1,1,5.0,Excellent
96,11.0,1,1,5.0,Excellent
97,89.99,1,1,5.0,Excellent
98,0.0,21,1,4.2,Excellent
99,8.99,1,1,5.0,Excellent
100,36.35,8,1,4.1,Excellent
101,27.99,5,1,4.8,Excellent
102,20.0,1,1,5.0,Excellent
103,105.0,1,1,5.0,Excellent
104,27.4,1,1,5.0,Excellent
105,3.95,1,1,4.0,Excellent
106,0.0,4,1,5.0,Excellent
107,15.0,1,1,5.0,Excellent
108,137.16,1,1,5.0,Excellent
109,163.88,1,1,5.0,Excellent
110,14.57,1,1,5.0,Excellent
111,21.95,4,1,4.8,Excellent
112,49.99,18,1,4.6,Excellent
113,10.69,2,1,5.0,Excellent
